0, 12279, -5
1, 9279, 3075
2, 4214, 847
3, 3458, -4545
4, 7041, -6363
5, 8687, -2526
6, 4585, 1570
7, -1223, 562
8, -2326, -3458
9, 1290, -3865
10, 3324, 1275
11, -38, 6446
12, -4787, 6219
13, -4608, 2657
14, 368, 2348
15, 3721, 7173
16, 1565, 11617
17, -2157, 10316
18, -1223, 5448
19, 4138, 3691
20, 7459, 6995
21, 4886, 9922
22, 426, 7251
23, 338, 1285
24, 4433, -1223
25, 6332, 1689
26, 2317, 4587
27, -3462, 2261
28, -4658, -2975
29, -1415, -4438
30, -53, -288
31, -4217, 3919
32, -9708, 2892
33, -10212, -1128
34, -5956, -1554
35, -3349, 3333
36, -6084, 7891
37, -10042, 6821
38, -9029, 2404
39, -3421, 1247
40, 273, 5087
41, -1691, 8332
42, -5208, 5807
43, -4127, -67
44, 1139, -2567
45, 4106, 98
46, 1125, 2408
47, -3583, -712
48, -3786, -6767
49, 174, -9020
50, 1905, -5730
51, -2104, -2484
52, -7524, -4406
53, -8069, -9044
54, -4091, -9770
55, -1986, -4996
56, -5254, -432
57, -9585, -1271
58, -8789, -5105
59, -3350, -5363
60, 218, -521
61, -1657, 3691
62, -4738, 2135
63, -2943, -2677
64, 3132, -4099
65, 6920, -548
66, 4864, 2329
67, 1242, -469
68, 2170, -6296
69, 7073, -8422
70, 9463, -5240
71, 5920, -2381
72, 865, -4816
73, 501, -9879
74, 4311, -10896
75, 5878, -6376
76, 1871, -2066
77, -3230, -3008
78, -3236, -6617
79, 1262, -6322
80, 3783, -768
81, 948, 4210
82, -2825, 3542
83, -1477, -162
84, 4260, -328
85, 7788, 4399
86, 5686, 8229
87, 2331, 6206
88, 3731, 1079
89, 9099, -475
90, 11856, 2967
91, 8659, 5692
92, 3994, 2852
93, 3940, -2708
94, 7779, -4287
95, 9030, -499
96, 4493, 2893
97, -1229, 1013
98, -1989, -3339
99, 1499, -3560
100, 2765, 1591
101, -1361, 6218
102, -6279, 5376
103, -5930, 1814
104, -1153, 2063
105, 1476, 7281
106, -1284, 11544
107, -4914, 9953
108, -3469, 5342
109, 2090, 4306
110, 5122, 8057
111, 2387, 10757
112, -1569, 7640
113, -790, 1685
114, 3777, -422
115, 5558, 2565
116, 1447, 4839
117, -3870, 1690
118, -4353, -3877
119, -884, -5213
120, 43, -1178
121, -4571, 2319
122, -9974, 501
123, -10125, -3703
124, -5967, -3756
125, -4042, 1344
126, -7385, 5586
127, -11306, 4158
128, -9889, -3
129, -4218, -375
130, -957, 4032
131, -3197, 7238
132, -6294, 4538
133, -4405, -1000
134, 1316, -2752
135, 4207, 336
136, 1245, 2374
137, -2838, -1229
138, -2133, -7297
139, 2264, -9169
140, 3792, -5816
141, -428, -3159
142, -5536, -5807
143, -5557, -10608
144, -1570, -11011
145, -97, -6114
146, -3983, -1980
147, -8358, -3284
148, -7321, -6944
149, -2061, -6483
150, 792, -1110
151, -1668, 3077
152, -4655, 1433
153, -2389, -2895
154, 3803, -3377
155, 7222, 820
156, 4948, 3678
157, 1780, 684
158, 3488, -4865
159, 8751, -6352
160, 10927, -2899
161, 7222, -473
162, 2564, -3524
163, 2815, -8710
164, 6720, -9442
165, 7728, -4933
166, 3165, -1245
167, -1958, -2886
168, -1770, -6585
169, 2435, -5874
170, 4070, -105
171, 441, 4546
172, -3490, 3531
173, -1972, 106
174, 3553, 713
175, 6390, 5963
176, 3782, 9715
177, 628, 7505
178, 2594, 2714
179, 8161, 1881
180, 10618, 5683
181, 7265, 8062
182, 3079, 4694
183, 3776, -926
184, 7890, -2216
185, 8811, 1498
186, 3987, 4143
187, -1478, 1397
188, -1789, -3269
189, 1619, -3353
190, 2185, 1675
191, -2586, 5623
192, -7568, 4092
193, -7027, 488
194, -2496, 1212
195, -633, 6691
196, -3990, 10674
197, -7522, 8780
198, -5624, 4469
199, 25, 4180
200, 2691, 8370
201, -205, 10862
202, -3622, 7410
203, -1985, 1623
204, 3018, 33
205, 4705, 3148
206, 608, 4857
207, -4109, 998
208, -3786, -4767
209, -43, -5918
210, 535, -2021
211, -4387, 731
212, -9557, -1871
213, -9289, -6232
214, -5236, -5952
215, -3993, -743
216, -7907, 3088
217, -11767, 1276
218, -10004, -2604
219, -4404, -2203
220, -1685, 2722
221, -4256, 5875
222, -6979, 3077
223, -4380, -1995
224, 1652, -2899
225, 4379, 668
226, 1432, 2505
227, -1993, -1435
228, -386, -7344
229, 4408, -8727
230, 5748, -5277
231, 1409, -3191
232, -3277, -6497
233, -2725, -11396
234, 1266, -11476
235, 2116, -6554
236, -2324, -2951
237, -6690, -4765
238, -5445, -8277
239, -475, -7178
240, 1566, -1408
241, -1530, 2646
242, -4482, 884
243, -1875, -2934
244, 4254, -2483
245, 7159, 2316
246, 4602, 5143
247, 1847, 2029
248, 4253, -3128
249, 9769, -3905
250, 11682, -166
251, 7864, 1843
252, 3685, -1748
253, 4591, -6972
254, 8595, -7407
255, 9093, -2983
256, 4093, -2
257, -930, -2380
258, -498, -6206
259, 3396, -5178
260, 4148, 630
261, -227, 4791
262, -4283, 3337
263, -2646, 132
264, 2554, 1423
265, 4609, 7068
266, 1461, 10644
267, -1516, 8249
268, 938, 3849
269, 6588, 3762
270, 8688, 7909
271, 5208, 9961
272, 1564, 6159
273, 3039, 599
274, 7432, -332
275, 8087, 3304
276, 3122, 5201
277, -1919, 1633
278, -1671, -3295
279, 1720, -3266
280, 1675, 1538
281, -3597, 4704
282, -8510, 2435
283, -7730, -1240
284, -3477, -120
285, -2393, 5485
