0, -1812, -1789
1, -150, -230
2, -33, -68
3, -74, -127
4, -26, -35
5, -34, -78
6, -44, -28
7, -24, -37
8, -20, 67
9, -24, -8
10, -4, 57
11, -17, 65
12, 4193346, -33
13, -33, -126
14, -33, -95
15, -36, -64
16, 11, -19
17, -59, -46
18, -24, -50
19, 44, -72
20, -9, -43
21, 21, -27
22, -21, -12
23, -22, -43
24, -32, 2
25, 15, -28
26, 1, -29
27, -32, -33
28, -39, -42
29, -15, -13
30, -20, -17
31, -9, -16
32, 3, 5
33, -16, -17
34, -17, -12
35, -3, -29
36, -9, -17
37, -26, -28
38, -4, -9
39, 4, -15
40, -26, 22
41, -23, -15
42, -26, 7
43, 39, -21
44, -36, -60
45, -16, -6
46, -11, -14
47, -33, -16
48, 23, 21
49, -36, -12
50, -10, -12
51, 41, -20
52, 16, 13
53, 25, -15
54, -3, -9
55, -26, -16
56, -13, 29
57, -20, -11
58, -3, 3
59, -31, -4
60, -60, -28
61, 2, -16
62, -3, -25
63, -29, -18
64, -27, -37
65, 6, -2
66, 7, -29
67, 3, -9
68, -5, -38
69, -1, -4
70, -7, -9
71, 10, -6
72, -9, 18
73, -11, -9
74, 5, -14
75, -16, -16
76, 59, -42
77, 42, 26
78, 1, 1
79, 25, -2
80, 10, 9
81, -7, 7
82, -6, -13
83, 25, -62
84, -7, 0
85, -5, -22
86, -3, -11
87, -51, -12
88, -8, 4
89, -34, -11
90, -6, 12
91, -46, -13
92, 4, -25
93, -17, -5
94, -1, -1
95, -12, -6
96, 15, 13
97, -1, -16
98, 14, -10
99, 32, -12
100, 3, -2
101, -2, -2
102, -8, 0
103, -9, -5
104, 20, 8
105, -18, -5
106, -11, 7
107, 16, -14
108, 2, -15
109, 57, 8
110, 0, -17
111, 6, -9
112, -6, -3
113, -5, -4
114, -6, -4
115, -13, -12
116, -9, -28
117, -25, -4
118, -3, -2
119, 8, -14
120, 21, 3
121, 24, 0
122, -6, -3
123, -38, 2
124, -64, 7
125, 10, -9
