0, 1048480, 0
1, 1013870, 267245
2, 912266, 516781
3, 750434, 732221
4, 539015, 899337
5, 292006, 1006986
6, 25723, 1048158
7, -242233, 1020112
8, -494245, 924675
9, -713615, 768135
10, -885811, 560963
11, -999529, 316643
12, -1047217, 51456
13, -1025752, -217145
14, -936527, -471426
15, -785451, -694514
16, -582491, -871791
17, -341079, -991462
18, -77156, -1045634
19, 191910, -1030759
20, 448308, -947816
21, 675040, -802269
22, 857224, -603712
23, 982750, -365332
24, 1043435, -102748
25, 1035169, 166583
26, 958537, 424854
27, 818615, 655125
28, 624602, 842148
29, 389301, 973526
30, 128324, 1040585
31, -141088, 1038939
32, -401224, 968676
33, -634894, 834421
34, -826574, 645055
35, -963662, 413107
36, -1037141, 153818
37, -1042094, -115583
38, -978209, -377353
39, -849756, -614170
40, -665167, -810473
41, -436582, -953255
42, -179266, -1033042
43, 89941, -1044615
44, 353225, -987202
45, 593152, -864556
46, 793911, -684816
47, 942237, -459891
48, 1028340, -204565
49, 1046488, 64311
50, 995570, 328885
51, 878856, 571767
52, 704123, 776882
53, 482857, 930676
54, 229713, 1023007
55, -38579, 1047758
56, -304371, 1003321
57, -550028, 892613
58, -759360, 722971
59, -918522, 505585
60, -1017061, 254783
61, -1048388, -12868
62, -1010481, -279649
63, -905867, -527946
64, -741395, -741395
65, -527946, -905867
66, -279649, -1010482
67, -12868, -1048388
68, 254783, -1017061
69, 505585, -918522
70, 722971, -759360
71, 892614, -550028
72, 1003321, -304371
73, 1047758, -38580
74, 1023007, 229713
75, 930676, 482857
76, 776882, 704123
77, 571768, 878856
78, 328885, 995570
79, 64311, 1046488
80, -204565, 1028340
81, -459891, 942237
82, -684816, 793911
83, -864556, 593152
84, -987201, 353226
85, -1044615, 89941
86, -1033042, -179265
87, -953254, -436582
88, -810473, -665168
89, -614170, -849756
90, -377353, -978209
91, -115583, -1042094
92, 153818, -1037141
93, 413107, -963662
94, 645055, -826574
95, 834421, -634894
96, 968676, -401224
97, 1038939, -141088
98, 1040586, 128324
99, 973526, 389301
100, 842148, 624602
101, 655125, 818615
102, 424854, 958537
103, 166583, 1035169
104, -102748, 1043435
105, -365331, 982750
106, -603712, 857224
107, -802268, 675040
108, -947816, 448308
109, -1030759, 191910
110, -1045634, -77157
111, -991462, -341079
112, -871790, -582491
113, -694514, -785451
114, -471426, -936527
115, -217145, -1025752
116, 51456, -1047217
117, 316643, -999529
118, 560963, -885811
119, 768135, -713615
120, 924675, -494244
121, 1020113, -242233
122, 1048159, 25723
123, 1006986, 292006
124, 899337, 539015
125, 732221, 750434
126, 516781, 912266
127, 267245, 1013870
128, 0, 1048480
129, -267246, 1013870
130, -516782, 912266
131, -732222, 750434
132, -899338, 539015
133, -1006987, 292006
134, -1048159, 25723
135, -1020113, -242233
136, -924676, -494245
137, -768136, -713615
138, -560964, -885811
139, -316644, -999529
140, -51457, -1047217
141, 217144, -1025752
142, 471425, -936527
143, 694513, -785451
144, 871790, -582491
145, 991461, -341079
146, 1045633, -77156
147, 1030758, 191910
148, 947815, 448308
149, 802268, 675040
150, 603711, 857224
151, 365331, 982750
152, 102747, 1043435
153, -166584, 1035169
154, -424855, 958537
155, -655126, 818615
156, -842149, 624602
157, -973527, 389301
158, -1040586, 128324
159, -1038940, -141088
160, -968677, -401224
161, -834422, -634894
162, -645056, -826574
163, -413108, -963662
164, -153819, -1037141
165, 115582, -1042094
166, 377352, -978209
167, 614169, -849756
168, 810472, -665167
169, 953254, -436582
170, 1033041, -179266
171, 1044614, 89941
172, 987201, 353225
173, 864555, 593152
174, 684815, 793911
175, 459890, 942237
176, 204564, 1028340
177, -64312, 1046488
178, -328886, 995570
179, -571768, 878856
180, -776883, 704123
181, -930677, 482857
182, -1023008, 229713
183, -1047759, -38579
184, -1003322, -304371
185, -892614, -550028
186, -722972, -759360
187, -505586, -918522
188, -254784, -1017061
189, 12867, -1048388
190, 279648, -1010481
191, 527945, -905867
192, 741394, -741395
193, 905866, -527946
194, 1010481, -279649
195, 1048387, -12868
196, 1017060, 254783
197, 918521, 505585
198, 759359, 722971
199, 550027, 892614
200, 304370, 1003321
201, 38579, 1047758
202, -229714, 1023007
203, -482858, 930676
204, -704124, 776882
205, -878857, 571768
206, -995571, 328885
207, -1046489, 64311
208, -1028341, -204565
209, -942238, -459891
210, -793912, -684816
211, -593153, -864556
212, -353227, -987201
213, -89942, -1044615
214, 179264, -1033042
215, 436581, -953254
216, 665167, -810473
217, 849755, -614170
218, 978208, -377353
219, 1042093, -115583
220, 1037140, 153818
221, 963661, 413107
222, 826573, 645055
223, 634893, 834421
224, 401223, 968676
225, 141087, 1038939
226, -128325, 1040586
227, -389302, 973526
228, -624603, 842148
229, -818616, 655125
230, -958538, 424854
231, -1035170, 166583
232, -1043436, -102748
233, -982751, -365331
234, -857225, -603712
235, -675041, -802268
236, -448309, -947816
237, -191911, -1030759
238, 77156, -1045634
239, 341078, -991462
240, 582490, -871790
241, 785450, -694514
242, 936526, -471426
243, 1025751, -217145
244, 1047216, 51456
245, 999528, 316643
246, 885810, 560963
247, 713614, 768135
248, 494243, 924675
249, 242232, 1020113
250, -25724, 1048159
251, -292007, 1006986
252, -539016, 899337
253, -750435, 732221
254, -912267, 516781
255, -1013871, 267245
256, -1048480, 0
257, -1013871, -267246
258, -912267, -516782
259, -750435, -732222
260, -539015, -899338
261, -292007, -1006987
262, -25724, -1048159
263, 242232, -1020113
264, 494244, -924676
265, 713614, -768136
266, 885810, -560964
267, 999528, -316643
268, 1047216, -51456
269, 1025751, 217144
270, 936527, 471425
271, 785450, 694513
272, 582490, 871790
273, 341079, 991461
274, 77156, 1045634
275, -191911, 1030758
276, -448309, 947816
277, -675041, 802268
278, -857225, 603711
279, -982751, 365331
280, -1043436, 102747
281, -1035169, -166583
282, -958537, -424854
283, -818616, -655126
284, -624603, -842149
285, -389302, -973527
286, -128325, -1040586
287, 141087, -1038940
288, 401223, -968677
289, 634893, -834422
290, 826573, -645055
291, 963661, -413108
292, 1037140, -153819
293, 1042093, 115583
294, 978208, 377352
295, 849756, 614169
296, 665167, 810472
297, 436581, 953254
298, 179265, 1033042
299, -89941, 1044614
300, -353226, 987201
301, -593153, 864555
302, -793912, 684816
303, -942238, 459891
304, -1028341, 204564
305, -1046489, -64312
306, -995570, -328886
307, -878857, -571768
308, -704124, -776883
309, -482858, -930677
310, -229713, -1023008
311, 38579, -1047758
312, 304370, -1003322
313, 550027, -892614
314, 759359, -722971
315, 918521, -505586
316, 1017060, -254783
317, 1048387, 12867
318, 1010481, 279648
319, 905866, 527945
320, 741394, 741394
321, 527945, 905866
322, 279648, 1010481
323, 12867, 1048387
324, -254784, 1017060
325, -505586, 918521
326, -722971, 759359
327, -892614, 550027
328, -1003322, 304370
329, -1047759, 38579
330, -1023008, -229713
331, -930677, -482858
332, -776883, -704124
333, -571768, -878857
334, -328886, -995570
335, -64312, -1046489
336, 204564, -1028341
337, 459890, -942238
338, 684815, -793912
339, 864555, -593153
340, 987200, -353226
341, 1044614, -89941
342, 1033041, 179265
343, 953254, 436581
344, 810472, 665167
345, 614169, 849756
346, 377352, 978208
347, 115582, 1042093
348, -153819, 1037140
349, -413108, 963661
350, -645056, 826574
351, -834422, 634893
352, -968677, 401223
353, -1038940, 141087
354, -1040586, -128325
355, -973527, -389302
356, -842149, -624603
357, -655126, -818616
358, -424855, -958537
359, -166584, -1035170
360, 102747, -1043436
361, 365331, -982751
362, 603711, -857225
363, 802268, -675041
364, 947815, -448309
365, 1030758, -191911
366, 1045633, 77156
367, 991461, 341079
368, 871790, 582490
369, 694513, 785450
370, 471425, 936526
371, 217144, 1025751
372, -51456, 1047216
373, -316643, 999528
374, -560964, 885810
375, -768136, 713614
376, -924676, 494244
377, -1020113, 242232
378, -1048159, -25724
379, -1006987, -292007
380, -899338, -539015
381, -732222, -750435
382, -516782, -912267
383, -267246, -1013871
384, 0, -1048480
385, 267245, -1013871
386, 516781, -912267
387, 732222, -750435
388, 899337, -539015
389, 1006986, -292007
390, 1048159, -25724
391, 1020113, 242232
392, 924675, 494244
393, 768135, 713614
394, 560963, 885810
395, 316643, 999528
396, 51456, 1047216
397, -217145, 1025751
398, -471426, 936527
399, -694514, 785450
400, -871790, 582490
401, -991462, 341079
402, -1045634, 77156
403, -1030759, -191911
404, -947816, -448309
405, -802268, -675041
406, -603712, -857225
407, -365332, -982751
408, -102748, -1043436
409, 166583, -1035169
410, 424854, -958537
411, 655125, -818616
412, 842148, -624603
413, 973526, -389302
414, 1040586, -128325
415, 1038939, 141087
416, 968677, 401223
417, 834421, 634893
418, 645055, 826573
419, 413107, 963661
420, 153818, 1037140
421, -115583, 1042093
422, -377353, 978208
423, -614170, 849756
424, -810473, 665167
425, -953254, 436581
426, -1033042, 179265
427, -1044615, -89941
428, -987201, -353226
429, -864556, -593153
430, -684816, -793912
431, -459891, -942238
432, -204564, -1028341
433, 64311, -1046489
434, 328885, -995570
435, 571768, -878857
436, 776882, -704124
437, 930677, -482858
438, 1023008, -229713
439, 1047758, 38579
440, 1003322, 304370
441, 892614, 550027
442, 722971, 759359
443, 505585, 918521
444, 254783, 1017060
445, -12868, 1048387
446, -279648, 1010481
447, -527946, 905866
448, -741395, 741394
449, -905867, 527945
450, -1010481, 279648
451, -1048388, 12867
452, -1017061, -254784
453, -918522, -505586
454, -759359, -722971
455, -550028, -892614
456, -304370, -1003322
